	SRR17060816_R2_filtered.fastq.gz	SRR17060817_R2_filtered.fastq.gz	SRR17060818_R2_filtered.fastq.gz	SRR17060819_R2_filtered.fastq.gz	SRR17060820_R2_filtered.fastq.gz	SRR17060821_R2_filtered.fastq.gz	SRR17060822_R2_filtered.fastq.gz	SRR17060823_R2_filtered.fastq.gz	SRR17060824_R2_filtered.fastq.gz	SRR17060825_R2_filtered.fastq.gz	SRR17060826_R2_filtered.fastq.gz	SRR17060827_R2_filtered.fastq.gz	SRR17060828_R2_filtered.fastq.gz	SRR17060829_R2_filtered.fastq.gz	SRR17060830_R2_filtered.fastq.gz	SRR17060831_R2_filtered.fastq.gz	SRR17060832_R2_filtered.fastq.gz	SRR17060833_R2_filtered.fastq.gz	SRR17060834_R2_filtered.fastq.gz	SRR17060835_R2_filtered.fastq.gz	SRR17060836_R2_filtered.fastq.gz	SRR17060837_R2_filtered.fastq.gz	SRR17060838_R2_filtered.fastq.gz	SRR17060839_R2_filtered.fastq.gz	SRR17060840_R2_filtered.fastq.gz	SRR17060841_R2_filtered.fastq.gz	SRR17060842_R2_filtered.fastq.gz	SRR17060843_R2_filtered.fastq.gz	SRR17060844_R2_filtered.fastq.gz	SRR17060845_R2_filtered.fastq.gz	SRR17060846_R2_filtered.fastq.gz	SRR17060847_R2_filtered.fastq.gz
ASV_108	25	40	65	0	46	53	0	0	62	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	2829	3152
ASV_109	0	0	514	155	2026	959	0	0	134	0	0	0	0	0	0	0	568	83	0	959	0	0	0	0	0	0	0	0	0	0	324	509
ASV_110	0	86	452	0	186	257	0	0	586	0	0	0	0	0	0	0	139	363	0	12	0	0	20	0	0	0	0	0	0	0	3877	226
ASV_111	0	0	0	0	204	178	0	0	631	0	0	0	0	0	0	1178	102	2897	0	43	0	0	405	0	0	0	0	0	0	0	170	279
ASV_112	832	137	115	860	66	954	0	0	4	0	0	0	0	0	0	0	556	8	0	2468	0	0	0	0	0	0	0	0	0	0	33	0
ASV_113	0	0	0	0	0	0	548	114	0	434	0	88	407	0	0	0	0	0	0	0	0	0	0	0	1516	1247	730	566	311	21	0	0
ASV_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4338	0	0	1610	0	0	0	0	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4728	0	0	0	0	0	0	1203	0	0	0	0	0	0	0	0	0
ASV_116	0	0	0	0	0	0	523	2838	0	477	39	0	1426	62	0	0	0	0	0	0	0	0	0	0	0	0	220	273	0	0	0	0
ASV_117	22	179	571	10	723	184	0	0	68	0	0	0	0	0	0	0	41	46	0	38	0	0	0	0	0	0	0	0	0	0	2475	1342
ASV_118	0	0	0	0	684	373	0	0	177	0	0	0	0	0	0	2403	186	1134	0	0	0	0	710	0	0	0	0	0	0	0	0	0
ASV_119	0	0	83	64	747	443	0	0	758	0	0	0	0	0	5	0	92	424	0	57	0	0	0	0	0	0	0	0	0	0	2464	511
ASV_120	0	0	0	0	0	0	1373	481	0	494	1023	12	0	0	0	0	0	0	0	0	0	0	0	18	309	32	269	1610	0	0	0	0
ASV_121	3162	342	0	1062	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0
