Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17060837_1	SRR17060837_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	340430.0	102.3 Mbp	0.0	35-301	53.0	13.483535528596189	300.35332373762594	301	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060837_2	SRR17060837_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	340430.0	102.1 Mbp	0.0	35-301	53.0	12.977117175337074	300.91944011984845	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060838_1	SRR17060838_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	458696.0	137.9 Mbp	0.0	85-301	49.0	7.012051554842423	300.7682081378517	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060838_2	SRR17060838_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	458696.0	137.6 Mbp	0.0	85-301	51.0	7.581709890646528	300.9869281615711	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060839_1	SRR17060839_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4313.0	1 Mbp	0.0	242-251	51.0	25.759332251333177	250.477393925342	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060839_2	SRR17060839_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4313.0	1 Mbp	0.0	107-251	51.0	24.994203570600508	250.95246927892418	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060840_1	SRR17060840_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	180460.0	45.2 Mbp	0.0	114-251	49.0	13.555358528205696	250.931940596254	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060840_2	SRR17060840_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	180460.0	45.2 Mbp	0.0	49-251	50.0	15.508145849495733	250.91998780893272	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060841_1	SRR17060841_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144809.0	36.2 Mbp	0.0	102-251	50.0	13.684922898438634	250.9343410975837	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060841_2	SRR17060841_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144809.0	36.3 Mbp	0.0	57-251	51.0	16.97201140813071	250.93141310277676	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060842_1	SRR17060842_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116261.0	29 Mbp	0.0	237-251	52.0	13.779341309639518	250.1611030354117	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060842_2	SRR17060842_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116261.0	29.1 Mbp	0.0	52-251	54.0	11.95757820765347	250.9303807811734	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060843_1	SRR17060843_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118736.0	29.7 Mbp	0.0	242-251	52.0	13.636976148767014	250.23524457620266	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060843_2	SRR17060843_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118736.0	29.7 Mbp	0.0	62-251	53.0	12.298713111440506	250.9465873871446	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060844_1	SRR17060844_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138038.0	34.6 Mbp	0.0	237-251	50.0	18.2717802344282	250.7002854286501	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060844_2	SRR17060844_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138038.0	34.6 Mbp	0.0	60-251	50.0	22.385864761877166	250.9096987785972	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060845_1	SRR17060845_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10051.0	2.5 Mbp	0.0	242-251	51.0	23.659337379365237	250.4504029449806	250	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR17060845_2	SRR17060845_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10051.0	2.5 Mbp	0.0	73-251	52.0	24.922893244453288	250.9365237289822	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060846_1	SRR17060846_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	440832.0	132.6 Mbp	0.0	73-301	53.0	8.367586745063878	300.9438743103949	301	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR17060846_2	SRR17060846_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	440832.0	132.3 Mbp	0.0	73-301	52.0	9.21189931765389	300.9804279181185	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060847_1	SRR17060847_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345611.0	103.9 Mbp	0.0	35-301	52.0	8.765346010398975	300.9360639562977	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060847_2	SRR17060847_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345611.0	103.8 Mbp	0.0	35-301	52.0	8.856488942770918	300.9223404347662	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
